Id,Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Temp,Humi
1,0,-0.02410842,-0.0545657,0.9917678,178.8416,-578.0264,-195.2574,-0.1340305,0.6134068,-0.05177423,24.47058,54.89778
2,0.005,-0.02615586,-0.05627471,0.9963172,219.39,-542.0506,-184.3858,-0.1335699,0.6153185,-0.0585299,24.45736,54.9011
3,0.01,-0.02368847,-0.05419642,0.9916512,188.0404,-587.2462,-233.0581,-0.1382804,0.6157637,-0.05887793,24.4475,54.9194
4,0.015,-0.02672899,-0.05577859,0.9985673,197.6931,-558.0608,-264.9692,-0.1440743,0.6183199,-0.05402807,24.44116,54.95213
5,0.02,-0.02288097,-0.05349731,0.9958592,127.974,-554.9653,-245.5636,-0.1447192,0.6192712,-0.05201651,24.43837,54.99829
6,0.025,-0.02550119,-0.05492684,0.9995474,133.75,-514.6013,-232.7636,-0.1410725,0.6198201,-0.05552885,24.43903,55.05651
7,0.03,-0.02438721,-0.05432934,0.9961309,233.1768,-563.6198,-244.8168,-0.1369138,0.6169928,-0.05870785,24.44294,55.12505
8,0.035,-0.02572779,-0.05647155,0.9972082,253.5667,-510.8586,-248.194,-0.1350699,0.6138172,-0.05702874,24.44982,55.20193
9,0.04,-0.02671507,-0.05667305,0.999055,174.3272,-567.3636,-213.4533,-0.134333,0.6100483,-0.05185151,24.45927,55.28494
10,0.045,-0.02676667,-0.05454244,0.9959186,197.0795,-527.7528,-214.0434,-0.1350702,0.6108162,-0.04802509,24.47087,55.37175
11,0.05,-0.02808341,-0.05717282,0.9988545,229.5099,-623.1832,-228.1869,-0.1372019,0.6129039,-0.04793667,24.48413,55.45995
12,0.055,-0.02539794,-0.05374439,0.995978,157.2959,-577.1415,-272.864,-0.1395717,0.6153182,-0.05102677,24.49854,55.54719
13,0.06,-0.02732753,-0.05648747,1.00282,208.9388,-550.0933,-233.9311,-0.1382028,0.6144024,-0.05445112,24.5136,55.63112
14,0.065,-0.02508592,-0.05419213,0.9995418,198.9096,-559.0951,-247.4337,-0.1335691,0.6153184,-0.05552797,24.52656,55.70457
15,0.07,-0.0254982,-0.05484587,1.002796,196.2023,-524.6521,-194.5684,-0.1303418,0.6164333,-0.05225222,24.53501,55.76122
16,0.075,-0.02580645,-0.05640045,0.9996322,220.7554,-534.6036,-152.6256,-0.1335697,0.6168181,-0.04652431,24.54196,55.80716
17,0.08,-0.02793568,-0.05711294,1.000988,191.1269,-530.2218,-197.5482,-0.1394991,0.6114801,-0.04413374,24.54726,55.84151
18,0.085,-0.02755171,-0.05712263,1.002463,231.8563,-589.8926,-203.0914,-0.1410722,0.6063138,-0.04952636,24.55087,55.86382
19,0.09,-0.02759902,-0.05567708,0.9998534,184.5261,-532.1379,-246.9877,-0.1361281,0.6041263,-0.05738884,24.55283,55.8741
20,0.095,-0.02756895,-0.05761673,1.003713,207.9194,-573.3605,-231.0136,-0.1320687,0.6078147,-0.05852977,24.55331,55.8727
21,0.1,-0.02724252,-0.05357259,1.000035,150.2912,-580.8887,-206.0387,-0.1333589,0.6106235,-0.0533225,24.55252,55.86038
22,0.105,-0.02446803,-0.05569196,1.00456,157.7834,-550.171,-239.3187,-0.1365702,0.6123167,-0.05252802,24.55075,55.83819
23,0.11,-0.02523219,-0.05620828,1.002296,157.565,-545.5828,-283.973,-0.1352389,0.6114594,-0.0587984,24.54832,55.80743
24,0.115,-0.02583136,-0.05602596,1.002696,194.0089,-578.8055,-280.6646,-0.132069,0.6123167,-0.0615304,24.54559,55.76963
25,0.12,-0.02684478,-0.0569549,1.003064,257.4003,-531.4719,-221.4926,-0.1332526,0.6121585,-0.05407169,24.5429,55.72641
26,0.125,-0.02537331,-0.05610906,0.9989178,191.2507,-588.2802,-220.543,-0.1395721,0.6123163,-0.04652507,24.54056,55.67944
27,0.13,-0.02806023,-0.0571596,1.004814,202.7124,-558.8236,-213.7781,-0.1426879,0.6097041,-0.04933267,24.53887,55.63041
28,0.135,-0.02363366,-0.05663668,0.9980421,245.3646,-543.2308,-199.5455,-0.1380704,0.6078145,-0.05702878,24.53804,55.58087
29,0.14,-0.02871188,-0.05685017,1.004614,247.7536,-515.5955,-223.8089,-0.129855,0.6063664,-0.05696281,24.53823,55.53227
30,0.145,-0.02454938,-0.05513597,0.9969594,169.5891,-502.0981,-188.4753,-0.1275673,0.6093158,-0.04952561,24.53775,55.48187
31,0.15,-0.02675206,-0.05785859,1.003344,233.1248,-471.2531,-160.5415,-0.1333053,0.6123992,-0.04542734,24.5338,55.42448
32,0.155,-0.02229508,-0.0542622,0.9980127,271.3616,-613.6563,-209.6866,-0.1410726,0.6153185,-0.04952619,24.53015,55.36953
33,0.16,-0.02598023,-0.05592514,1.000324,250.0763,-516.4382,-224.4783,-0.1421087,0.6158941,-0.05494373,24.52691,55.31818
34,0.165,-0.02233407,-0.05492296,0.9964569,148.8233,-550.7515,-132.5688,-0.1365703,0.618319,-0.05552844,24.52413,55.2714
35,0.17,-0.02380556,-0.05569943,0.9965532,180.5786,-556.3828,-202.4379,-0.1315486,0.617237,-0.05314026,24.52191,55.23002
36,0.175,-0.02331263,-0.05732218,0.9970713,179.7284,-569.5093,-249.8098,-0.1335697,0.6108149,-0.05252674,24.52029,55.19476
37,0.18,-0.02388851,-0.05498619,0.9965207,201.6153,-528.403,-253.0017,-0.1386143,0.6006546,-0.05210335,24.51932,55.16609
38,0.185,-0.02365791,-0.05567566,0.9991748,215.0792,-563.038,-277.8485,-0.1395716,0.6003122,-0.04802441,24.51905,55.14439
39,0.19,-0.02388423,-0.05572313,0.9965501,259.2155,-540.1711,-220.0785,-0.1353189,0.6093913,-0.04257813,24.5195,55.12981
40,0.195,-0.02425979,-0.05687173,0.9968304,231.5431,-564.3143,-210.348,-0.13357,0.6183185,-0.0435238,24.52071,55.12236
41,0.2,-0.02550096,-0.05514108,0.996016,240.2638,-609.3683,-241.7488,-0.1374822,0.6145063,-0.05104144,24.52268,55.12186
42,0.205,-0.02452587,-0.05551749,0.9957716,157.4838,-527.3232,-186.874,-0.1425736,0.6063139,-0.05552743,24.52541,55.12797
43,0.21,-0.02326846,-0.0565729,0.9978802,199.4044,-541.2584,-207.3673,-0.1428487,0.60333,-0.05055447,24.52888,55.14021
44,0.215,-0.02499672,-0.05458643,0.9940838,157.9724,-548.1638,-193.8375,-0.1410733,0.6093155,-0.04352332,24.53305,55.15787
45,0.22,-0.02351223,-0.05533711,0.9996009,97.61801,-585.1895,-230.7315,-0.1416175,0.6130189,-0.04409498,24.53786,55.18021
46,0.225,-0.02438788,-0.05426881,0.9960036,144.0012,-562.7167,-217.1356,-0.1440739,0.6123163,-0.05102687,24.54062,55.20045
47,0.23,-0.0259784,-0.05547138,0.9987258,94.61014,-568.0558,-181.6465,-0.1428972,0.6087841,-0.05552613,24.53528,55.20417
48,0.235,-0.02443823,-0.05529107,0.9941291,178.4126,-545.2847,-217.2835,-0.138071,0.6093152,-0.05552908,24.53058,55.21029
49,0.24,-0.02319819,-0.0544332,0.9976864,169.3393,-534.3577,-234.975,-0.1340749,0.6097366,-0.05565586,24.52666,55.2183
50,0.245,-0.0260699,-0.05635062,0.9983353,196.8938,-508.3267,-237.9798,-0.1350704,0.6093152,-0.05853045,24.5236,55.22765
51,0.25,-0.02440465,-0.05451754,0.9976725,229.4111,-557.7412,-201.32,-0.1381917,0.6070659,-0.06086155,24.52148,55.23777
52,0.255,-0.02745771,-0.05733841,1.000326,175.383,-536.2977,-260.9775,-0.1395718,0.6093155,-0.06003033,24.52035,55.24813
53,0.26,-0.02367836,-0.05467028,0.9953324,192.8345,-557.5638,-245.9066,-0.1379577,0.6120774,-0.0568675,24.52023,55.25817
54,0.265,-0.02787489,-0.05696002,1.004113,304.6237,-494.1824,-210.5602,-0.1365705,0.6123161,-0.05402759,24.5211,55.26744
55,0.27,-0.02504014,-0.05587128,0.9971403,192.3119,-599.9725,-280.189,-0.1359254,0.6076123,-0.05217153,24.52297,55.27551
56,0.275,-0.02850091,-0.05729119,1.004858,184.6944,-501.4532,-262.2118,-0.1350699,0.6078156,-0.05102621,24.5258,55.28207
57,0.28,-0.0247798,-0.05581934,0.9974421,237.7644,-539.6954,-252.8609,-0.1336345,0.6130443,-0.05006219,24.52953,55.28686
58,0.285,-0.02848673,-0.05671712,1.003637,206.2459,-502.8329,-218.0849,-0.1350706,0.6183189,-0.04952544,24.53408,55.28973
59,0.29,-0.02574359,-0.05537395,0.9997668,197.4143,-566.7225,-248.1036,-0.1388257,0.6152208,-0.04881549,24.53937,55.2906
