time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[C],hum[%RH],newData,interrupts,fsm1,fsm2,fsm3,fsm4,fsm5,fsm6,fsm7,fsm8,fsm9,fsm10,fsm11,fsm12,fsm13,fsm14,fsm15,fsm16,
830,16,-16,1005,-192,78,-476,-259,-84,16,,,,0x038,,,,,,,,,,,,,,,,,,
28438,16,-15,1006,-188,65,-481,-259,-84,16,,,,0x018,,,,,,,,,,,,,,,,,,
61603,16,-15,1006,-188,65,-481,-262,-85,13,,,,0x020,,,,,,,,,,,,,,,,,,
105903,16,-15,1005,-205,65,-468,-262,-85,13,,,,0x018,,,,,,,,,,,,,,,,,,
162471,16,-15,1005,-205,65,-468,-259,-84,13,,,,0x020,,,,,,,,,,,,,,,,,,
183670,17,-16,1005,-188,70,-498,-259,-84,13,,,,0x018,,,,,,,,,,,,,,,,,,
261210,17,-16,1005,-183,74,-498,-259,-84,13,,,,0x010,,,,,,,,,,,,,,,,,,
261839,15,-14,1005,-183,74,-498,-259,-84,13,,,,0x008,,,,,,,,,,,,,,,,,,
263685,15,-14,1005,-183,74,-498,-256,-76,15,,,,0x020,,,,,,,,,,,,,,,,,,
338984,16,-15,1005,-183,52,-503,-256,-76,15,,,,0x018,,,,,,,,,,,,,,,,,,
364551,16,-15,1005,-183,52,-503,-264,-73,10,,,,0x020,,,,,,,,,,,,,,,,,,
416446,16,-15,1005,-196,61,-507,-264,-73,10,,,,0x010,,,,,,,,,,,,,,,,,,
417075,16,-15,1006,-196,61,-507,-264,-73,10,,,,0x008,,,,,,,,,,,,,,,,,,
465424,16,-15,1006,-196,61,-507,-250,-79,7,,,,0x020,,,,,,,,,,,,,,,,,,
494221,17,-16,1005,-188,56,-511,-250,-79,7,,,,0x018,,,,,,,,,,,,,,,,,,
566595,17,-16,1005,-188,56,-511,-265,-73,10,,,,0x020,,,,,,,,,,,,,,,,,,
571684,17,-16,1005,-175,74,-503,-265,-73,10,,,,0x010,,,,,,,,,,,,,,,,,,
572313,14,-15,1005,-175,74,-503,-265,-73,10,,,,0x008,,,,,,,,,,,,,,,,,,
649234,14,-15,1005,-153,52,-507,-265,-73,10,,,,0x010,,,,,,,,,,,,,,,,,,
649863,18,-17,1005,-153,52,-507,-265,-73,10,,,,0x008,,,,,,,,,,,,,,,,,,
667515,18,-17,1005,-153,52,-507,-268,-67,13,,,,0x020,,,,,,,,,,,,,,,,,,
727010,18,-13,1005,-161,78,-433,-268,-67,13,,,,0x018,,,,,,,,,,,,,,,,,,
768381,18,-13,1005,-161,78,-433,-261,-76,7,,,,0x020,,,,,,,,,,,,,,,,,,
804473,18,-13,1005,-175,83,-472,-261,-76,7,,,,0x010,,,,,,,,,,,,,,,,,,
805102,15,-14,1006,-175,83,-472,-261,-76,7,,,,0x008,,,,,,,,,,,,,,,,,,
869256,15,-14,1006,-175,83,-472,-264,-79,6,,,,0x020,,,,,,,,,,,,,,,,,,
882248,16,-16,1005,-192,83,-494,-264,-79,6,,,,0x018,,,,,,,,,,,,,,,,,,
959787,16,-16,1005,-196,91,-494,-264,-79,6,,,,0x010,,,,,,,,,,,,,,,,,,
960416,16,-15,1005,-196,91,-494,-264,-79,6,,,,0x008,,,,,,,,,,,,,,,,,,
970470,16,-15,1005,-196,91,-494,-250,-81,22,,,,0x020,,,,,,,,,,,,,,,,,,
1037563,17,-15,1005,-188,78,-481,-250,-81,22,,,,0x018,,,,,,,,,,,,,,,,,,
1071335,17,-15,1005,-188,78,-481,-273,-79,22,,,,0x020,,,,,,,,,,,,,,,,,,
1115026,17,-15,1005,-205,91,-476,-273,-79,22,,,,0x010,,,,,,,,,,,,,,,,,,
1115655,15,-15,1005,-205,91,-476,-273,-79,22,,,,0x008,,,,,,,,,,,,,,,,,,
1172212,15,-15,1005,-205,91,-476,-258,-69,10,,,,0x020,,,,,,,,,,,,,,,,,,
1192803,14,-15,1006,-192,87,-481,-258,-69,10,,,,0x018,,,,,,,,,,,,,,,,,,
1270343,19,-15,1006,-183,70,-472,-258,-69,10,,,,0x018,,,,,,,,,,,,,,,,,,
1273418,19,-15,1006,-183,70,-472,-267,-85,4,,,,0x020,,,,,,,,,,,,,,,,,,
1348110,14,-15,1005,-166,91,-490,-267,-85,4,,,,0x018,,,,,,,,,,,,,,,,,,
1374285,14,-15,1005,-166,91,-490,-267,-81,12,,,,0x020,,,,,,,,,,,,,,,,,,
1425573,16,-15,1006,-179,65,-494,-267,-81,12,,,,0x018,,,,,,,,,,,,,,,,,,
1475454,16,-15,1006,-179,65,-494,-264,-79,6,,,,0x020,,,,,,,,,,,,,,,,,,
1503339,16,-14,1006,-179,74,-490,-264,-79,6,,,,0x018,,,,,,,,,,,,,,,,,,
1576320,16,-14,1006,-179,74,-490,-267,-76,0,,,,0x020,,,,,,,,,,,,,,,,,,
1580802,16,-14,1006,-201,78,-485,-267,-76,0,,,,0x010,,,,,,,,,,,,,,,,,,
1581431,17,-15,1005,-201,78,-485,-267,-76,0,,,,0x008,,,,,,,,,,,,,,,,,,
1658654,15,-15,1006,-179,87,-498,-267,-76,0,,,,0x018,,,,,,,,,,,,,,,,,,
1677230,15,-15,1006,-179,87,-498,-267,-73,9,,,,0x020,,,,,,,,,,,,,,,,,,
1736422,17,-15,1006,-179,61,-494,-267,-73,9,,,,0x018,,,,,,,,,,,,,,,,,,
1778402,17,-15,1006,-179,61,-494,-261,-79,9,,,,0x020,,,,,,,,,,,,,,,,,,
1813884,17,-15,1006,-170,61,-490,-261,-79,9,,,,0x010,,,,,,,,,,,,,,,,,,
1814513,17,-15,1006,-170,61,-490,-261,-79,9,,,,0x008,,,,,,,,,,,,,,,,,,
1879276,17,-15,1006,-170,61,-490,-258,-72,13,,,,0x020,,,,,,,,,,,,,,,,,,
1891660,15,-15,1006,-192,87,-472,-258,-72,13,,,,0x018,,,,,,,,,,,,,,,,,,
1969201,15,-15,1006,-192,61,-463,-258,-72,13,,,,0x010,,,,,,,,,,,,,,,,,,
1969830,17,-15,1006,-192,61,-463,-258,-72,13,,,,0x008,,,,,,,,,,,,,,,,,,
1980492,17,-15,1006,-192,61,-463,-265,-73,16,,,,0x020,,,,,,,,,,,,,,,,,,
2046977,17,-15,1006,-188,70,-494,-265,-73,16,,,,0x018,,,,,,,,,,,,,,,,,,
2081358,17,-15,1006,-188,70,-494,-262,-75,7,,,,0x020,,,,,,,,,,,,,,,,,,
2124745,20,-12,1010,-297,315,-511,-262,-75,7,,,,0x018,,,,,,,,,,,,,,,,,,
2182528,20,-12,1010,-297,315,-511,-270,-76,15,,,,0x020,,,,,,,,,,,,,,,,,,
2202510,1,-22,991,-853,1855,-2240,-270,-76,15,,,,0x018,,,,,,,,,,,,,,,,,,
2280051,26,-11,1018,516,-1715,-1706,-270,-76,15,,,,0x018,,,,,,,,,,,,,,,,,,
2283734,26,-11,1018,516,-1715,-1706,-259,-82,9,,,,0x020,,,,,,,,,,,,,,,,,,
2357819,13,-17,1003,-231,214,-498,-259,-82,9,,,,0x018,,,,,,,,,,,,,,,,,,
