time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[C],hum[%RH],newData,interrupts,fsm1,fsm2,fsm3,fsm4,fsm5,fsm6,fsm7,fsm8,fsm9,fsm10,fsm11,fsm12,fsm13,fsm14,fsm15,fsm16,
10891,13,-42,1005,-161,48,-555,-522,69,-12,,,,0x020,,,,,,,,,,,,,,,,,,
78897,13,-40,941,-940,-2738,4742,-522,69,-12,,,,0x018,,,,,,,,,,,,,,,,,,
112062,13,-40,941,-940,-2738,4742,-513,57,-3,,,,0x020,,,,,,,,,,,,,,,,,,
156360,13,-40,941,643,-1211,-551,-513,57,-3,,,,0x010,,,,,,,,,,,,,,,,,,
156989,15,-42,1003,643,-1211,-551,-513,57,-3,,,,0x008,,,,,,,,,,,,,,,,,,
212936,15,-42,1003,643,-1211,-551,-511,58,-7,,,,0x020,,,,,,,,,,,,,,,,,,
234135,16,-40,1003,-196,78,-516,-511,58,-7,,,,0x018,,,,,,,,,,,,,,,,,,
311674,13,-42,1004,-166,100,-520,-511,58,-7,,,,0x018,,,,,,,,,,,,,,,,,,
313838,13,-42,1004,-166,100,-520,-516,58,-12,,,,0x020,,,,,,,,,,,,,,,,,,
389136,13,-42,1004,-183,91,-511,-516,58,-12,,,,0x010,,,,,,,,,,,,,,,,,,
389765,15,-42,1004,-183,91,-511,-516,58,-12,,,,0x008,,,,,,,,,,,,,,,,,,
415014,15,-42,1004,-183,91,-511,-516,51,-16,,,,0x020,,,,,,,,,,,,,,,,,,
466910,15,-41,1004,-179,91,-503,-516,51,-16,,,,0x018,,,,,,,,,,,,,,,,,,
515879,15,-41,1004,-179,91,-503,-504,57,-9,,,,0x020,,,,,,,,,,,,,,,,,,
544372,15,-41,1004,-179,96,-511,-504,57,-9,,,,0x010,,,,,,,,,,,,,,,,,,
545001,14,-41,1004,-179,96,-511,-504,57,-9,,,,0x008,,,,,,,,,,,,,,,,,,
617058,14,-41,1004,-179,96,-511,-516,58,-16,,,,0x020,,,,,,,,,,,,,,,,,,
622149,15,-41,1003,-175,87,-503,-516,58,-16,,,,0x018,,,,,,,,,,,,,,,,,,
699690,15,-41,1004,-196,87,-507,-516,58,-16,,,,0x018,,,,,,,,,,,,,,,,,,
717961,15,-41,1004,-196,87,-507,-514,58,-16,,,,0x020,,,,,,,,,,,,,,,,,,
777456,14,-41,1004,-179,87,-516,-514,58,-16,,,,0x018,,,,,,,,,,,,,,,,,,
819131,14,-41,1004,-179,87,-516,-510,51,-13,,,,0x020,,,,,,,,,,,,,,,,,,
854918,15,-42,1004,-170,83,-516,-510,51,-13,,,,0x018,,,,,,,,,,,,,,,,,,
919996,15,-42,1004,-170,83,-516,-513,58,-10,,,,0x020,,,,,,,,,,,,,,,,,,
932381,15,-42,1004,-183,87,-533,-513,58,-10,,,,0x010,,,,,,,,,,,,,,,,,,
933010,14,-41,1004,-183,87,-533,-513,58,-10,,,,0x008,,,,,,,,,,,,,,,,,,
1009931,14,-41,1004,-183,83,-529,-513,58,-10,,,,0x010,,,,,,,,,,,,,,,,,,
1010559,15,-41,1004,-183,83,-529,-513,58,-10,,,,0x008,,,,,,,,,,,,,,,,,,
1020916,15,-41,1004,-183,83,-529,-504,51,-13,,,,0x020,,,,,,,,,,,,,,,,,,
