"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.159088300E-2,-9.000000544E-3,-2.160000056E-1,1.019505024E1,1.019734212E1
1.357802800E-2,-4.050000105E-3,-2.329500169E-1,1.018605042E1,1.018871460E1
1.556541200E-2,-1.305000018E-2,-2.299500108E-1,1.016700077E1,1.016960923E1
1.755279700E-2,2.595000155E-2,-2.160000056E-1,1.011195087E1,1.011429087E1
1.954018200E-2,4.500000179E-2,-2.299500108E-1,1.011600018E1,1.011871343E1
2.152757800E-2,6.900000572E-2,-2.059500068E-1,1.009005070E1,1.009238820E1
2.351519200E-2,6.000000238E-2,-2.040000111E-1,1.005405045E1,1.005629884E1
2.550257800E-2,6.495000422E-2,-1.920000017E-1,1.002105045E1,1.002310005E1
2.749003800E-2,6.705000252E-2,-1.579500139E-1,1.001100063E1,1.001247110E1
2.947742500E-2,9.795000404E-2,-1.459500045E-1,9.987000465E0,9.988547137E0
3.146483200E-2,1.009500027E-1,-1.489500105E-1,9.954000473E0,9.955626672E0
3.345214000E-2,9.105000645E-2,-1.390500069E-1,9.951000214E0,9.952388169E0
3.543952200E-2,1.129500046E-1,-1.579500139E-1,9.973050117E0,9.974940328E0
3.742690700E-2,9.300000221E-2,-1.630500108E-1,9.958050728E0,9.959819707E0
3.941429200E-2,8.895000070E-2,-1.770000011E-1,9.967950821E0,9.969918990E0
4.140144800E-2,7.695000619E-2,-1.849500090E-1,1.000605011E1,1.000805509E1
4.338878100E-2,6.705000252E-2,-1.819500029E-1,1.002105045E1,1.002292640E1
4.537616600E-2,2.895000204E-2,-2.110500038E-1,1.006605053E1,1.006830440E1
4.736301400E-2,1.905000024E-2,-1.920000017E-1,1.007595062E1,1.007779777E1
4.935032000E-2,1.695000008E-2,-1.969500035E-1,1.009500027E1,1.009693553E1
5.133747600E-2,-6.000000052E-3,-2.130000144E-1,1.014495087E1,1.014718843E1
5.332455300E-2,-3.495000303E-2,-2.230500132E-1,1.014495087E1,1.014746278E1
5.531185700E-2,-2.100000158E-2,-2.329500169E-1,1.015695095E1,1.015964366E1
5.729901300E-2,-3.299999982E-2,-2.280000150E-1,1.014705086E1,1.014966571E1
5.928609000E-2,-3.705000132E-2,-2.520000041E-1,1.016700077E1,1.017019082E1
6.127339600E-2,-3.705000132E-2,-2.490000129E-1,1.017105007E1,1.017416499E1
6.326047500E-2,-2.505000122E-2,-2.470500171E-1,1.019100094E1,1.019402577E1
6.524755200E-2,-3.000000119E-2,-2.419500053E-1,1.016895008E1,1.017187227E1
6.723474000E-2,-1.095000096E-2,-2.280000150E-1,1.014705086E1,1.014961797E1
6.922181900E-2,4.950000439E-3,-2.209500074E-1,1.009500027E1,1.009741917E1
7.120912500E-2,-1.050000079E-3,-2.110500038E-1,1.007805061E1,1.008026028E1
7.319628100E-2,3.405000269E-2,-1.920000017E-1,1.005405045E1,1.005594122E1
7.518335800E-2,2.595000155E-2,-1.849500090E-1,1.003995037E1,1.004168728E1
7.717074000E-2,4.305000231E-2,-1.770000011E-1,1.003305054E1,1.003470405E1
7.915808500E-2,5.700000376E-2,-1.750500053E-1,1.000905037E1,1.001074327E1
8.114516400E-2,6.900000572E-2,-2.010000050E-1,1.002300072E1,1.002525338E1
8.313224100E-2,6.000000238E-2,-1.819500029E-1,9.991950035E0,9.993786635E0
