"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
8.994167100E-2,2.199999988E-3,-2.062499989E-3,-1.374999993E-4,3.018743514E-3
9.192966700E-2,2.199999988E-3,1.099999994E-3,-1.374999993E-4,2.463515006E-3
9.391789800E-2,2.199999988E-3,1.099999994E-3,-1.374999993E-4,2.463515006E-3
9.590620600E-2,1.237499993E-3,1.099999994E-3,-1.374999993E-4,1.661418812E-3
9.789420800E-2,-9.624999948E-4,2.199999988E-3,-1.374999993E-4,2.405267644E-3
9.988228500E-2,-2.062499989E-3,1.099999994E-3,8.249999955E-4,2.478816488E-3
1.018705290E-1,1.374999993E-4,1.099999994E-3,8.249999955E-4,1.381857890E-3
1.038586080E-1,1.237499993E-3,1.099999994E-3,-1.374999993E-4,1.661418812E-3
1.058466080E-1,1.237499993E-3,3.162499983E-3,-1.374999993E-4,3.398781933E-3
1.078348360E-1,1.237499993E-3,3.162499983E-3,-1.374999993E-4,3.398781933E-3
1.098229150E-1,1.374999993E-4,1.099999994E-3,-1.374999993E-4,1.117055275E-3
1.118111440E-1,1.374999993E-4,0.000000000E0,-1.374999993E-4,1.944543638E-4
1.137992580E-1,1.374999993E-4,0.000000000E0,8.249999955E-4,8.363798434E-4
1.157874870E-1,1.374999993E-4,0.000000000E0,8.249999955E-4,8.363798434E-4
1.177755660E-1,1.374999993E-4,0.000000000E0,8.249999955E-4,8.363798434E-4
1.197635660E-1,1.374999993E-4,-1.099999994E-3,-1.374999993E-4,1.117055275E-3
1.217517940E-1,1.374999993E-4,-2.062499989E-3,-1.374999993E-4,2.071646375E-3
1.237398730E-1,1.374999993E-4,-1.099999994E-3,8.249999955E-4,1.381857890E-3
1.257280930E-1,1.237499993E-3,0.000000000E0,-1.374999993E-4,1.245115450E-3
1.277161720E-1,1.237499993E-3,0.000000000E0,-1.374999993E-4,1.245115450E-3
1.297041720E-1,1.374999993E-4,-1.099999994E-3,-1.374999993E-4,1.117055275E-3
1.316924780E-1,1.374999993E-4,-1.099999994E-3,-1.374999993E-4,1.117055275E-3
1.336804800E-1,1.374999993E-4,0.000000000E0,-1.374999993E-4,1.944543638E-4
1.356687090E-1,1.237499993E-3,1.099999994E-3,-1.374999993E-4,1.661418812E-3
1.376568140E-1,1.237499993E-3,1.099999994E-3,-1.374999993E-4,1.661418812E-3
1.396450420E-1,1.237499993E-3,0.000000000E0,-1.374999993E-4,1.245115450E-3
1.416330440E-1,1.237499993E-3,0.000000000E0,8.249999955E-4,1.487289893E-3
1.436211190E-1,1.237499993E-3,0.000000000E0,8.249999955E-4,1.487289893E-3
1.456094270E-1,1.374999993E-4,0.000000000E0,8.249999955E-4,8.363798434E-4
1.475974290E-1,1.374999993E-4,1.099999994E-3,8.249999955E-4,1.381857890E-3
